time,Purity
2023-03-13 19:08:25,100.9912
2023-03-13 19:08:30,100.9843
2023-03-13 19:08:35,100.9882
2023-03-13 19:08:40,100.9633
2023-03-13 19:08:45,100.9982
2023-03-13 19:08:50,100.9773
2023-03-13 19:08:55,100.9693
2023-03-13 19:09:00,100.9853
2023-03-13 19:09:05,101.028
2023-03-13 19:09:10,101.027
2023-03-13 19:09:15,100.9803
2023-03-13 19:09:20,100.9723
2023-03-13 19:09:26,101.0241
2023-03-13 19:09:31,101.0191
2023-03-13 19:09:36,100.9613
2023-03-13 19:09:41,100.9833
2023-03-13 19:09:46,100.9693
2023-03-13 19:09:51,100.9514
2023-03-13 19:09:56,100.9753
2023-03-13 19:10:01,101.0141
2023-03-13 19:10:06,101.036
2023-03-13 19:10:11,100.9833
2023-03-13 19:10:16,101.0012
2023-03-13 19:10:21,101.0091
2023-03-13 19:10:26,100.9952
2023-03-13 19:10:31,100.9623
2023-03-13 19:10:36,101.0042
2023-03-13 19:10:41,100.9853
2023-03-13 19:10:46,100.9594
2023-03-13 19:10:51,100.9753
2023-03-13 19:10:56,100.9783
2023-03-13 19:11:02,100.9663
2023-03-13 19:11:07,101.037
2023-03-13 19:11:12,100.9892
2023-03-13 19:11:17,100.9773
2023-03-13 19:11:22,100.9534
2023-03-13 19:11:27,100.9643
2023-03-13 19:11:32,100.9474
2023-03-13 19:11:37,101.0091
2023-03-13 19:11:42,100.9584
2023-03-13 19:11:47,100.9962
2023-03-13 19:11:52,100.9833
2023-03-13 19:11:57,100.9534
2023-03-13 19:12:02,100.9703
2023-03-13 19:12:07,100.9823
2023-03-13 19:12:12,100.9564
2023-03-13 19:12:17,101.0559
2023-03-13 19:12:22,100.9484
2023-03-13 19:12:27,100.9474
2023-03-13 19:12:32,100.9653
2023-03-13 19:12:37,100.9843
2023-03-13 19:12:42,100.9584
2023-03-13 19:12:48,100.9863
2023-03-13 19:12:53,100.9703
2023-03-13 19:12:58,101.037
2023-03-13 19:13:03,100.9962
2023-03-13 19:13:08,100.9992
2023-03-13 19:13:13,100.9643
2023-03-13 19:13:18,101.0191
2023-03-13 19:13:23,100.9813
2023-03-13 19:13:28,100.9902
2023-03-13 19:13:33,101.0201
2023-03-13 19:13:38,101.0161
2023-03-13 19:13:43,101.0002
2023-03-13 19:13:48,100.9873
2023-03-13 19:13:53,101.031
2023-03-13 19:13:58,100.9912
2023-03-13 19:14:03,100.9873
2023-03-13 19:14:08,101.027
2023-03-13 19:14:13,100.9863
2023-03-13 19:14:18,100.9643
2023-03-13 19:14:24,100.9723
2023-03-13 19:14:29,100.9853
