time,Air Velocity (m/s),BGA He Percent (%),BGA Sound Speed (m/s),Fixed Distance (m),He Velocity (m/s),Measured Distance (m),Mixture Velocity (m/s),Percent He (%),Pressure (PSIG),Temperature (K)
2023-04-13 13:55:00.853,331,92.3321762084961,830.295166015625,0.800000011920929,973,0.3347916603088379,790.939697265625,93.28176379203796,0.11916255950927734,295.70001220703125
2023-04-13 13:54:30.855,,92.38245391845703,831.2355346679688,,,0.3344675898551941,791.7060546875,93.32008361816406,0.11916255950927734,
2023-04-13 13:54:00.553,331,92.42476654052734,832.03125,0.800000011920929,973,0.3341435194015503,792.473876953125,93.3583676815033,0.11916255950927734,295.70001220703125
2023-04-13 13:53:30.666,,92.45659637451172,832.6823120117188,,,0.3338310122489929,793.2157592773438,93.39525103569031,0.11754703521728516,
2023-04-13 13:53:00.744,331,92.5,833.4057006835938,0.800000011920929,973,0.3335069417953491,793.9865112304688,93.43346357345581,0.11916255950927734,295.70001220703125
2023-04-13 13:52:30.859,,92.54232025146484,834.201416015625,,,0.3331828713417053,794.7587890625,93.47164034843445,0.11916255950927734,
2023-04-13 13:52:00.546,331,92.58065795898438,834.9247436523438,0.800000011920929,973,0.3328819274902344,795.477294921875,93.50706338882446,0.12077999114990234,295.70001220703125
2023-04-13 13:51:30.639,,92.61935424804688,835.720458984375,,,0.3325694501399994,796.2247314453125,93.54380369186401,0.11916255950927734,
2023-04-13 13:51:00.793,331,92.66167449951172,836.44384765625,0.800000011920929,973,0.3322453498840332,797.0014038085938,93.58187317848206,0.12077999114990234,295.70001220703125
2023-04-13 13:50:30.912,,92.70435333251953,837.3119506835938,,,0.3319328725337982,797.751708984375,93.61854195594788,0.12077999114990234,
2023-04-13 13:50:00.557,331,92.74378204345703,838.0352783203125,0.800000011920929,973,0.33166664838790894,798.3920288085938,93.6497688293457,0.11916255950927734,295.70001220703125
2023-04-13 13:49:30.659,,92.78790283203125,838.8309936523438,,,0.33135414123535156,799.14501953125,93.68637204170227,0.11916255950927734,
2023-04-13 13:49:00.781,331,92.82804870605469,839.5543823242188,0.800000011920929,973,0.331053227186203,799.8714599609375,93.72159838676453,0.11916255950927734,295.70001220703125
2023-04-13 13:48:30.872,,92.8631362915039,840.2777709960938,,,0.33074072003364563,800.627197265625,93.75814199447632,0.11916255950927734,
2023-04-13 13:48:00.994,331,92.90653991699219,841.073486328125,0.800000011920929,973,0.33042824268341064,801.3843383789062,93.79464983940125,0.11754703521728516,295.70001220703125
2023-04-13 13:47:30.673,,92.94632720947266,841.8692626953125,,,0.3301272988319397,802.1148681640625,93.82978081703186,0.11916255950927734,
2023-04-13 13:47:00.778,331,92.98429870605469,842.5925903320312,0.800000011920929,973,0.3298148214817047,802.8748168945312,93.86621117591858,0.11916255950927734,295.70001220703125
2023-04-13 13:46:30.865,,93.02336120605469,843.3159790039062,,,0.32950231432914734,803.6362915039062,93.90261769294739,0.11916255950927734,
2023-04-13 13:46:00.993,331,93.06640625,844.1840209960938,0.800000011920929,973,0.32918980717658997,804.3992309570312,93.93899440765381,0.11754703521728516,295.6000061035156
